,MS
0,0.7184038844837719
1,0.6645878853663936
2,0.7816754812156699
3,0.7055895911858511
4,0.5344987553571985
5,0.6954147476229784
6,0.5293446494357394
7,0.8416147746288157
8,0.5385007901067053
9,0.6070514712241639
10,0.8336339943022673
11,0.46930042503602365
12,0.6994168757518774
13,0.5496581606637927
14,0.6639587983920628
15,0.8127983471251168
16,0.4268119597416035
17,0.6725434681437545
18,0.7692309391022301
19,0.6112823132537585
20,0.5971297254545966
21,0.4584508111154276
22,0.43271738969677476
23,0.823932277873869
24,0.872593162517769
25,0.8502300492859385
26,0.7426960208070196
27,0.8074058726177573
28,0.6816483867702725
29,0.5436340859740894
30,0.47442911718488756
31,0.8189807275884975
32,0.5557962582264335
33,0.8776164915382014
34,0.47813154834690275
35,0.6822292327094915
36,0.7694729106792002
37,0.7015094412197682
38,0.5890691237018489
39,0.8084723418690529
40,0.5823829498209243
41,0.6217109389343904
42,0.8122445961911039
43,0.7448117682186156
44,0.7197228320979067
45,0.49227810510855935
46,0.8435105098089222
47,0.837753319220889
48,0.7614572410106628
49,0.5529846168869412
