,MS
0,0.5961124499050608
1,0.5815002546898602
2,0.5341599617762769
3,0.5358462563235715
4,0.5794432867990575
5,0.6071826481848106
6,0.5113973098617804
7,0.5906879432890311
8,0.4982098143250761
9,0.5422415895575129
10,0.5525169720668052
11,0.5494081388138089
12,0.5818772423434586
13,0.6118696088217506
14,0.5394099693115104
15,0.49388502865574846
16,0.5703264936516194
17,0.48893359747053655
18,0.6317937712930507
19,0.5807787824603741
20,0.5573191311998815
21,0.6058742042004783
22,0.5635260019480675
23,0.599484150755307
24,0.5888487680396063
25,0.6056607262556919
26,0.550256877273188
27,0.5842000770783486
28,0.6274777107979073
29,0.5528064205434237
30,0.5694568056732617
31,0.544142474290154
32,0.5905660051227712
33,0.5515176486036624
34,0.5342101750315913
35,0.6186214582418695
36,0.5535313624078478
37,0.5786842555008315
38,0.5597715052288632
39,0.5905126679478006
40,0.5575346194389881
41,0.579440989989727
42,0.5550497288723443
43,0.5899859474392132
44,0.5395721270171685
45,0.5719292593792633
46,0.5481447231470093
47,0.5574683302170951
48,0.6075046681968592
49,0.5817739300930082
