,MS
0,0.6766854008104687
1,0.6414967359457304
2,0.6480818326540291
3,0.660638202162984
4,0.6701187912870854
5,0.6681715849220566
6,0.661481954775468
7,0.6342102496575833
8,0.6119871764084338
9,0.6412999890503951
10,0.661939038408789
11,0.6576229742736
12,0.6431713913774701
13,0.7193217705986082
14,0.6378815853241533
15,0.6566472816085938
16,0.6797849940956842
17,0.6528300047924958
18,0.684111920798032
19,0.6323655141304576
20,0.6920736388310278
21,0.678578687080821
22,0.623712574870529
23,0.6308196788780798
24,0.6003730162318579
25,0.6479751747000434
26,0.635463050756768
27,0.6528437493554955
28,0.6510663608320811
29,0.6847609562613017
30,0.6369685518952162
31,0.6583385638137457
32,0.6608892380819723
33,0.6763854341075186
34,0.6775170911689208
35,0.6838138227540853
36,0.6371019617816879
37,0.6723174071475453
38,0.6133554025753957
39,0.6682291141679507
40,0.662608118737212
41,0.6230362886841561
42,0.6904563112892533
43,0.6590187406673151
44,0.6539130265186586
45,0.6757387335941681
46,0.6376961840150386
47,0.6850824894643935
48,0.6719834467453947
49,0.623045381430794
