,MS
0,0.5713855413355903
1,0.5585851530570733
2,0.5452945806161458
3,0.5688873517015504
4,0.5771362600311599
5,0.5863235619075441
6,0.5310480062074084
7,0.6003547785758174
8,0.6226205076771464
9,0.5796762638565779
10,0.5851287792149221
11,0.497410376846119
12,0.6255298235360532
13,0.621368361728145
14,0.527153670064145
15,0.5602702768008385
16,0.6020676761769479
17,0.5957072900710337
18,0.6084917654445845
19,0.6029783548382563
20,0.5998975083513931
21,0.5837308187308187
22,0.560875053812415
23,0.563587275522174
24,0.5511720024527177
25,0.6043446043132407
26,0.596708389642933
27,0.5921963127782888
28,0.6529965803239697
29,0.6177473114492346
30,0.5929574672513003
31,0.602368684709307
32,0.6100683535665711
33,0.5813125245589059
34,0.6608262333636857
35,0.57084392056895
36,0.6334679706119173
37,0.5500473962101682
38,0.5772563251373808
39,0.5452295613585937
40,0.5959144316792252
41,0.5474660571556745
42,0.6289241974697108
43,0.5536729698778363
44,0.6280896501714902
45,0.676587722842578
46,0.6066337652955331
47,0.5847234832727757
48,0.5494277431036547
49,0.5606797821048917
