,MS
0,0.5961124499050608
1,0.5815000043804153
2,0.5341599617762769
3,0.5358462563235715
4,0.5794432867990575
5,0.6071826481848106
6,0.5113996662330943
7,0.5906879432890311
8,0.4982098143250761
9,0.542243870293625
10,0.5525169720668052
11,0.5494081388138089
12,0.5818772423434586
13,0.6118697397828716
14,0.5394090183428684
15,0.49388502865574846
16,0.570328882723542
17,0.488933536966321
18,0.6317937712930507
19,0.5807787824603741
20,0.5573191311998815
21,0.6058742042004783
22,0.5635260019480675
23,0.5994841507553069
24,0.5888487680396063
25,0.6056607262556919
26,0.550256877273188
27,0.5842000770783486
28,0.6274777107979073
29,0.5528097599963043
30,0.569457443519756
31,0.544142608342221
32,0.5905664740937737
33,0.5515176486036624
34,0.5342048452023784
35,0.618621681154303
36,0.5535313624078478
37,0.5786842555008315
38,0.5597715052288632
39,0.5905126679478006
40,0.5575345507387203
41,0.5794397388793666
42,0.5550465666650223
43,0.589986436904932
44,0.5395656108894995
45,0.5719292593792633
46,0.5481447231470093
47,0.5574683302170951
48,0.6075056476244719
49,0.5817739300930082
