,citation,biological,friendship,human,metabolic,mouse,reco,twitter,wiki,biological-2
0,2569,1045,744,1367,908,1253,2908,2881,1736,1823
1,47720,2795,21538,4932,4903,3890,12735,5027,28984,5714
