,CNI,CNO,CNIO,AA,RA,TC,MS,MyMS
0,0.544961073,0.495710763,0.560079867,0.541308141,0.560201866,0.5,0.5,0.571101692
1,0.544898995,0.492546832,0.562423377,0.551652922,0.56272656,0.5,0.5,0.564614405
2,0.535680507,0.467523801,0.551004658,0.541407577,0.550844983,0.5,0.5,0.543951761
3,0.515170108,0.487871362,0.567614769,0.558807185,0.567730483,0.5,0.5,0.560047124
4,0.541332496,0.490603785,0.556667741,0.538950809,0.556649212,0.5,0.5,0.583276774
5,0.510000067,0.502264617,0.515383819,0.516004363,0.515331655,0.5,0.5,0.535172793
6,0.573301268,0.448192284,0.578725903,0.570584677,0.578679523,0.5,0.5,0.588842601
7,0.51655792,0.478597236,0.521595829,0.521950158,0.521583588,0.5,0.5,0.518101905
8,0.55259935,0.486590716,0.568033105,0.568277351,0.567717837,0.5,0.5,0.561125964
9,0.544309584,0.465350293,0.540742811,0.531478595,0.540654533,0.5,0.5,0.550353076
10,0.644285406,0.605380293,0.654357238,0.653822254,0.65525823,0.5,0.529610803,0.721856393
11,0.63282041,0.615697555,0.651087093,0.652534354,0.65226713,0.5,0.544064795,0.723763731
12,0.631203186,0.602534965,0.640991113,0.642268979,0.642103932,0.5,0.53804418,0.710554744
13,0.645539093,0.622166808,0.647374151,0.649062768,0.64889387,0.5,0.543387637,0.731999831
14,0.640379574,0.586021583,0.658900816,0.659962142,0.659542467,0.5,0.549121112,0.709648869
15,0.606834934,0.592712258,0.631691352,0.632396453,0.632076505,0.5,0.53688071,0.697809488
16,0.629050551,0.605923373,0.635583114,0.636804862,0.636655254,0.5,0.549945089,0.70091826
17,0.635900223,0.590265017,0.635064271,0.632482263,0.635544801,0.5,0.545178967,0.716906803
18,0.636324454,0.609318877,0.64152922,0.640954764,0.642474173,0.5,0.540327336,0.714584873
19,0.63805351,0.609222424,0.629971482,0.629462621,0.630965354,0.5,0.548226399,0.719253804
20,0.613905939,0.583191593,0.612450758,0.613232399,0.61431431,0.5,0.56410615,0.660353945
21,0.611338059,0.572199521,0.611949798,0.61290064,0.614023738,0.5,0.562580021,0.650182635
22,0.609237014,0.587139167,0.61183947,0.61246337,0.613499715,0.5,0.566426357,0.653416566
23,0.630505514,0.605032723,0.63521987,0.63605511,0.637280666,0.5,0.575799632,0.672353778
24,0.61669955,0.591173231,0.620269214,0.620831371,0.621962039,0.5,0.565175098,0.674921109
25,0.622052956,0.580380321,0.607974329,0.607825353,0.609963429,0.5,0.570420337,0.656329704
26,0.622108655,0.588826834,0.61896004,0.619385087,0.620222757,0.5,0.560673012,0.65822762
27,0.615628327,0.598555539,0.60730296,0.609545959,0.609735523,0.5,0.573221258,0.656418353
28,0.616489837,0.594660737,0.614197663,0.614662701,0.617046755,0.5,0.573073073,0.653730528
29,0.630290597,0.617289999,0.62444567,0.626287917,0.626333926,0.5,0.575596489,0.686356299
30,0.625471331,0.623121814,0.636949322,0.637679214,0.637531669,0.5,0.570637022,0.705391441
31,0.635191915,0.628234542,0.638941845,0.638428486,0.639330828,0.5,0.578883094,0.705144676
32,0.62851176,0.629215359,0.631668172,0.631644017,0.632609358,0.5,0.562875349,0.684458693
33,0.626680107,0.609259892,0.626148055,0.627395385,0.627129631,0.5,0.5721938,0.676349625
34,0.623552259,0.623697411,0.636950613,0.638835108,0.638884462,0.5,0.557235399,0.690719496
35,0.637488372,0.625272552,0.633079841,0.63438746,0.634209798,0.5,0.571738787,0.693710275
36,0.630080531,0.640078233,0.64567242,0.645151127,0.647016551,0.5,0.552620475,0.701237393
37,0.631669452,0.628038366,0.640663086,0.641671194,0.64166512,0.5,0.569625618,0.68972431
38,0.626193029,0.616281095,0.618582556,0.619659607,0.619435542,0.5,0.566229026,0.6914799
39,0.64248686,0.636411513,0.642774639,0.642704094,0.643626156,0.5,0.574864472,0.70970956
40,0.588606546,0.575099711,0.588466526,0.587782803,0.588800602,0.5,0.536998998,0.635847471
41,0.566286879,0.557048402,0.563754106,0.563431956,0.564514533,0.5,0.529114235,0.601455615
42,0.566698125,0.572277904,0.578293746,0.577938553,0.579135833,0.5,0.531822202,0.605548333
43,0.581798204,0.568294621,0.58625375,0.58561847,0.586728356,0.5,0.538367996,0.614857916
44,0.585395195,0.57047671,0.585371338,0.584758979,0.58583336,0.5,0.531904956,0.616074337
45,0.571909434,0.560276462,0.579543644,0.580351882,0.580294291,0.5,0.535614323,0.615869558
46,0.567356187,0.566800704,0.569516722,0.569928683,0.569831782,0.5,0.530796106,0.599584748
47,0.576572274,0.566041814,0.574777389,0.575447157,0.575353305,0.5,0.534389009,0.607121539
