,MS
0,0.5934651354198969
1,0.555852289507949
2,0.5512037767659403
3,0.5722398950622868
4,0.6070507976210475
5,0.5586241613428994
6,0.5316392176718503
7,0.5976780160850297
8,0.589705569121177
9,0.5169907553744874
10,0.5416952515076434
11,0.5417598336186801
12,0.5421073102153879
13,0.5474547115424007
14,0.5298454233424214
15,0.5010494040908202
16,0.6003916273602546
17,0.5139456432564637
18,0.536648610531432
19,0.5349188682894742
20,0.5265868108904276
21,0.5114445701601964
22,0.5358180036977174
23,0.5666607494216697
24,0.5949589253423817
25,0.49999723935077267
26,0.5442508737000313
27,0.6098793322841479
28,0.5950765877955917
29,0.5186099075471194
30,0.5485828728968438
31,0.5575149954174349
32,0.5136877454862986
33,0.5336313997565498
34,0.5726736706263318
35,0.5455596960739106
36,0.5833899792188498
37,0.5520533096831546
38,0.5486037517616462
39,0.5405479427504101
40,0.5552664921666082
41,0.5531667961096065
42,0.494890015745258
43,0.5625117266594053
44,0.5300631419099204
45,0.5310440952094033
46,0.551127617427412
47,0.5324942109079366
48,0.602973653286917
49,0.5515611750917317
