,MS
0,0.7712318953831442
1,0.7749230110319769
2,0.7784454033521158
3,0.7636678038059841
4,0.7746548820829702
5,0.7788008481549726
6,0.7551002920430117
7,0.7907595838183558
8,0.7609833731825099
9,0.7702478515384327
10,0.7841658050262144
11,0.7794084541598048
12,0.7711567518068665
13,0.7800044372892878
14,0.7464224680686846
15,0.7641238367309892
16,0.7555865460493387
17,0.7764230203856536
18,0.7628297487071521
19,0.7744432794406648
20,0.7484779238732336
21,0.777909370253349
22,0.7820793003182009
23,0.7680977340966897
24,0.799881805960927
25,0.783910229348323
26,0.779169613588678
27,0.787111704297208
28,0.7805889933088972
29,0.7557001998945224
30,0.766787147625604
31,0.7769366854933839
32,0.7937829803335574
33,0.7817843937978619
34,0.79390291213075
35,0.7949545332064799
36,0.7740821224711036
37,0.7781221489101183
38,0.7502288924091092
39,0.7742938791668288
40,0.7755465143097219
41,0.7774680319014403
42,0.7724662860346282
43,0.7852294732032149
44,0.8220160401229089
45,0.785518454107357
46,0.7597542888224277
47,0.7803511528935618
48,0.7822335651969572
49,0.7487306853383895
