,MS
0,0.5713901156099986
1,0.5585852782315353
2,0.5452945806161458
3,0.5688874571488526
4,0.5771362600311599
5,0.5863235619075441
6,0.5310480062074084
7,0.6003547785758174
8,0.622619530472907
9,0.5796769947369306
10,0.5851298530461909
11,0.497410376846119
12,0.6255379593409002
13,0.6213674239866765
14,0.5271532374113169
15,0.5602764564448965
16,0.6020676761769479
17,0.5957075833858954
18,0.6084930835486236
19,0.6029783548382563
20,0.5998909230235036
21,0.5837308187308187
22,0.560875053812415
23,0.563587275522174
24,0.5511720024527177
25,0.6043437426760842
26,0.596708389642933
27,0.5921962093684742
28,0.6529960219365836
29,0.6177473114492346
30,0.5929574672513003
31,0.602368684709307
32,0.6100693381257297
33,0.5813133297689369
34,0.6608262333636857
35,0.57084392056895
36,0.6334688740038243
37,0.5500473962101682
38,0.5772563251373808
39,0.5452286489312256
40,0.595915613146726
41,0.5474657795500123
42,0.6289243027720635
43,0.5536739732661673
44,0.6280972711585604
45,0.676585394001708
46,0.6066325595071633
47,0.5847241938948815
48,0.5494277431036547
49,0.5606786673871872
