,MS
0,0.5614354593956564
1,0.48480429320012414
2,0.5263378768252472
3,0.535778960193848
4,0.45198317793721765
5,0.5098619793242372
6,0.5016699576343804
7,0.4774521753699079
8,0.5338287414233033
9,0.541939935472449
10,0.5291286191396556
11,0.47529821894709634
12,0.5069109689023096
13,0.4666740577890817
14,0.4551659813995353
15,0.5201390857116914
16,0.5169673213415757
17,0.4844466177845333
18,0.4823590221700576
19,0.4778817420671375
20,0.492593268573228
21,0.4908212497517072
22,0.4794936310012001
23,0.49793996151093334
24,0.5158950709389176
25,0.492514734484044
26,0.4846942977224968
27,0.5657013686624282
28,0.47653104007574987
29,0.45346176944937316
30,0.48002425487655154
31,0.4659269509678323
32,0.5247846941748481
33,0.5075933017616837
34,0.4998989987498586
35,0.5307426971101322
36,0.5108057378156223
37,0.4850702161422937
38,0.4788831771223016
39,0.5115034914040429
40,0.48531858001669775
41,0.5453518776793806
42,0.5566742236734441
43,0.5179619664566391
44,0.5208139257606048
45,0.5096616640591624
46,0.49218710185549813
47,0.4382740302531429
48,0.5047325628220114
49,0.4908932754190072
